player_id,match_id,region,device,ping,score,kills,deaths,match_duration_seconds
P06253,M00001,Middle_East,Android,173,978,2,9,459
P04685,M00001,Europe,Android,74,1157,3,5,426
P01732,M00001,Europe,Console,41,4960,20,8,472
P04743,M00001,Middle_East,PC,144,7401,24,8,367
P04522,M00002,India,Android,39,4378,10,4,384
P06341,M00002,SEA,Console,21,2254,6,5,364
P00577,M00002,India,Android,93,2897,14,2,378
P05203,M00002,Middle_East,iOS,188,955,2,5,292
P06364,M00003,India,iOS,113,5976,20,6,469
P00440,M00003,Middle_East,Android,163,1494,5,11,436
P02751,M00003,Europe,PC,76,5169,14,8,415
P07488,M00003,India,Console,85,7687,24,3,480
P05273,M00004,Europe,PC,72,5133,20,7,486
P05654,M00004,India,iOS,33,2956,11,7,516
P04000,M00004,Middle_East,Console,93,7129,22,3,479
P06034,M00004,India,Console,45,6939,20,2,397
P00583,M00005,India,Android,109,1057,1,10,352
P09931,M00005,Europe,Console,34,20487,65,2,43
P07052,M00005,LatAm,Android,118,4601,20,9,413
P08159,M00005,Europe,Console,19,1355,3,7,428
P09897,M00006,SEA,Android,73,10271,41,0,264
P02250,M00006,Europe,Console,64,2211,7,9,376
P04641,M00006,SEA,Console,51,2528,5,5,475
P09486,M00006,India,iOS,59,778,3,6,528
P04948,M00007,India,iOS,76,3440,13,6,412
P09921,M00007,LatAm,Android,161,44258,94,2,91
P01964,M00007,Europe,Android,12,7453,25,1,413
P08244,M00007,SEA,PC,47,3825,13,8,416
P06591,M00008,SEA,iOS,107,2202,8,5,455
P08848,M00008,NA,Console,67,6080,17,3,427
P00322,M00008,SEA,Console,52,4774,16,7,329
P02679,M00008,SEA,Android,54,4393,18,6,395
P04626,M00009,Middle_East,PC,163,5521,14,6,380
P04950,M00009,Middle_East,Console,131,1730,8,5,387
P08329,M00009,SEA,PC,79,6234,20,4,471
P03338,M00009,India,iOS,95,949,4,9,446
P05590,M00010,LatAm,iOS,150,1555,2,9,462
P00252,M00010,India,Android,53,8077,26,6,442
P03974,M00010,LatAm,Android,111,4792,19,4,357
P06631,M00010,SEA,iOS,25,3434,7,7,377
P05548,M00011,LatAm,Android,151,2840,13,4,310
P00036,M00011,Europe,iOS,39,709,2,11,502
P08363,M00011,India,PC,102,6250,16,8,369
P01514,M00011,SEA,PC,71,2194,5,9,518
P09318,M00012,LatAm,Console,114,8660,19,3,448
P00040,M00012,LatAm,iOS,178,4759,18,10,457
P04820,M00012,SEA,iOS,77,4224,13,4,443
P03466,M00012,SEA,PC,56,3237,13,4,339
P01761,M00013,India,Android,116,5927,15,1,337
P02305,M00013,NA,iOS,24,4539,14,6,347
P03724,M00013,India,Android,114,3247,14,10,426
P08285,M00013,SEA,Console,42,3589,7,9,302
P04994,M00014,Europe,iOS,47,1326,6,5,410
P08128,M00014,India,Android,62,3362,11,3,405
P03033,M00014,SEA,Android,33,1033,7,11,393
P07939,M00014,India,iOS,33,6065,19,10,366
P03040,M00015,SEA,PC,32,5838,15,6,419
P09656,M00015,SEA,Android,21,72701,12,5,325
P02546,M00015,NA,Console,62,7578,26,4,463
P02593,M00015,Europe,Android,51,5553,20,1,429
P01189,M00016,Europe,PC,28,9789,22,6,455
P07967,M00016,Europe,iOS,56,6505,23,3,379
P06078,M00016,India,Console,48,1699,8,14,490
P00108,M00016,Middle_East,Android,170,5106,18,3,458
P01316,M00017,India,Android,83,2830,13,9,372
P08188,M00017,LatAm,Console,109,8140,16,6,403
P02754,M00017,India,Console,45,2097,8,10,459
P09754,M00017,LatAm,iOS,93,50649,203,0,81
P06232,M00018,India,Android,109,8742,32,1,372
P02877,M00018,NA,PC,68,4078,10,9,478
P05324,M00018,NA,PC,17,4291,11,12,457
P00800,M00018,LatAm,Console,177,3439,12,11,342
P03571,M00019,NA,Android,72,1784,6,7,370
P02895,M00019,India,PC,88,7355,19,5,331
P02928,M00019,India,Android,117,1345,5,12,382
P08179,M00019,India,Console,36,1971,6,10,364
P00972,M00020,SEA,PC,55,6993,17,8,374
P06688,M00020,India,iOS,47,2512,9,10,381
P08576,M00020,NA,Android,50,4938,17,2,507
P02021,M00020,NA,PC,48,12218,26,6,419
P09055,M00021,India,Android,61,5507,22,4,441
P00953,M00021,India,Android,57,3617,16,8,358
P05360,M00021,Europe,PC,64,3046,9,6,470
P03858,M00021,India,iOS,35,3422,12,5,326
P05862,M00022,SEA,Android,80,6595,31,4,425
P03146,M00022,SEA,PC,106,3432,8,10,379
P03306,M00022,Middle_East,iOS,159,935,4,10,458
P03007,M00022,India,Console,47,887,4,8,444
P09002,M00023,India,PC,54,8604,23,7,348
P07771,M00023,NA,Android,29,3767,11,8,410
P07439,M00023,SEA,Android,100,1432,3,8,305
P07943,M00023,SEA,iOS,106,3075,13,11,492
P09239,M00024,NA,Console,34,7805,18,6,426
P01057,M00024,India,Android,117,1459,4,14,343
P03155,M00024,NA,Android,58,2979,12,3,508
P03788,M00024,Europe,Android,58,7566,20,6,390
P09190,M00025,SEA,Console,61,4295,13,5,422
P07826,M00025,India,iOS,97,1268,2,13,294
P07540,M00025,NA,iOS,48,5997,25,1,432
P07232,M00025,Europe,PC,42,7882,24,4,385
P00765,M00026,Europe,Android,64,2086,6,12,339
P05020,M00026,NA,Android,32,4289,19,6,326
P04904,M00026,Europe,iOS,17,3612,15,9,336
P08094,M00026,SEA,Android,99,3407,17,3,493
P06844,M00027,SEA,iOS,20,2611,5,11,339
P02166,M00027,LatAm,Console,130,6933,21,2,495
P01863,M00027,Middle_East,Console,168,8786,27,4,443
P07851,M00027,India,PC,113,3538,13,8,427
P09124,M00028,India,Android,47,2077,6,12,494
P02341,M00028,LatAm,Android,125,2055,7,5,484
P05528,M00028,NA,Android,46,1904,5,9,435
P06744,M00028,Europe,PC,76,6808,20,7,424
P04004,M00029,NA,Android,74,1556,3,6,484
P01124,M00029,NA,Android,11,3455,11,9,432
P08710,M00029,India,Android,36,1983,8,11,349
P04050,M00029,India,PC,66,1217,5,14,297
P07641,M00030,India,PC,97,12456,22,3,451
P00766,M00030,SEA,Console,77,626,2,10,310
P02345,M00030,India,Android,75,2483,13,8,504
P04072,M00030,Europe,Android,15,761,4,13,385
P07217,M00031,India,iOS,119,8037,32,3,400
P04217,M00031,NA,Android,11,3266,6,6,352
P07953,M00031,Europe,iOS,56,4909,15,7,447
P05971,M00031,SEA,Android,24,2901,9,9,462
P03351,M00032,Europe,iOS,58,10513,27,4,461
P04696,M00032,LatAm,Android,135,655,2,12,547
P03400,M00032,Europe,Android,29,3637,10,6,503
P04082,M00032,SEA,Console,37,1549,1,11,395
P09150,M00033,SEA,iOS,102,3214,10,8,402
P01225,M00033,Europe,Android,77,3259,9,4,344
P06293,M00033,LatAm,PC,138,9923,19,1,449
P03123,M00033,India,Android,93,8096,28,3,407
P00511,M00034,India,PC,30,4556,11,2,389
P05795,M00034,NA,iOS,51,1908,8,10,458
P08182,M00034,Europe,Android,61,4303,13,2,420
P09418,M00034,India,iOS,53,11054,31,3,368
P00097,M00035,SEA,iOS,40,10044,25,4,364
P06682,M00035,SEA,Console,72,9951,20,2,444
P01513,M00035,SEA,PC,43,5418,10,7,405
P08792,M00035,SEA,Android,93,3484,9,8,306
P00120,M00036,India,Console,109,2730,10,3,343
P07792,M00036,LatAm,Android,141,5472,22,7,398
P06518,M00036,SEA,Console,71,2517,7,9,416
P00034,M00036,LatAm,iOS,99,4905,14,7,439
