player_id,match_id,region,device,ping,score,kills,deaths,match_duration_seconds,ground_truth_label
PS_NORM_01,MS_100,NA,Android,29,1930,9,5,342,0
PS_NORM_02,MS_101,SEA,PC,101,1130,12,8,339,0
PS_NORM_03,MS_102,Europe,iOS,67,1569,13,6,431,0
PS_NORM_04,MS_103,NA,Android,47,1259,13,9,288,0
PS_NORM_05,MS_104,Europe,PC,56,2847,17,3,294,0
PS_NORM_06,MS_105,NA,Console,17,4356,20,7,260,0
PS_NORM_07,MS_106,India,PC,32,3235,15,2,504,0
PS_NORM_08,MS_107,SEA,Android,16,2163,16,7,503,0
PS_NORM_09,MS_108,Europe,iOS,95,2755,19,8,241,0
PS_NORM_10,MS_109,Middle_East,iOS,68,1929,5,6,430,0
PS_NORM_11,MS_110,SEA,iOS,58,961,11,4,509,0
PS_NORM_12,MS_111,Middle_East,PC,76,3143,17,2,292,0
PS_NORM_13,MS_112,SEA,Android,74,1179,14,9,396,0
PS_NORM_14,MS_113,LatAm,Android,103,4710,10,8,368,0
PS_NORM_15,MS_114,NA,Console,102,3934,12,3,320,0
PS_CHEAT_01_score_bot,MS_990,Europe,PC,50,85000,15,2,450,1
PS_CHEAT_02_kill_farmer,MS_991,India,PC,45,4200,240,0,120,1
PS_CHEAT_03_god_mode,MS_992,LatAm,iOS,30,9500,150,0,480,1
PS_CHEAT_04_time_exploit,MS_993,SEA,Android,20,55000,10,1,45,1
PS_CHEAT_05_speed_hack,MS_994,NA,PC,65,22000,95,2,80,1
